filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
.\repo_files\insecure_deserialization.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",4,11,29,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b301-pickle
.\repo_files\insecure_hash.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak MD5 hash for security. Consider usedforsecurity=False,4,11,41,[4],https://bandit.readthedocs.io/en/1.7.8/plugins/b324_hashlib.html
.\repo_files\insecure_randomness.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,4,11,33,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b311-random
.\repo_files\repo_files\compliance_check.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,4,0,17,[4],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
.\repo_files\repo_files\compliance_check.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,22,15,54,[22],https://bandit.readthedocs.io/en/1.7.8/plugins/b113_request_without_timeout.html
.\repo_files\repo_files\compliance_check.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,49,15,49,[49],https://bandit.readthedocs.io/en/1.7.8/plugins/b113_request_without_timeout.html
.\repo_files\repo_files\compliance_check.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,59,13,68,[59],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
.\repo_files\repo_files\vulnerable_code.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password123',3,15,28,[3],https://bandit.readthedocs.io/en/1.7.8/plugins/b105_hardcoded_password_string.html
.\repo_files\repo_files\vulnerable_code_sql_injection.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,7,14,45,[7],https://bandit.readthedocs.io/en/1.7.8/plugins/b608_hardcoded_sql_expressions.html
.\repo_files\vulnerable_code.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password123',3,15,28,[3],https://bandit.readthedocs.io/en/1.7.8/plugins/b105_hardcoded_password_string.html
.\repo_files\vulnerable_code_sql_injection.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,7,14,45,[7],https://bandit.readthedocs.io/en/1.7.8/plugins/b608_hardcoded_sql_expressions.html
